token	BIO NER tag	POS tag
It	O	PRP
took	O	VBD
eight	O	CD
years	O	NNS
for	O	IN
Warner	B-ORG	NNP
Brothers	I-ORG	NNS
to	O	TO
recover	O	NN
from	O	IN
the	O	DT
disaster	O	NN
that	O	IN
was	O	VBD
this	O	DT
movie	O	NN
.	O	.
All	O	DT
the	O	DT
New	B-ORG	NNP
York	I-ORG	NNP
University	I-ORG	NNP
students	O	NNS
love	O	NN
this	O	DT
diner	O	NN
in	O	IN
Soho	B-LOC	NN
so	O	RB
it	O	PRP
makes	O	VBZ
for	O	IN
a	O	DT
fun	O	NN
young	O	JJ
atmosphere	O	RB
.	O	.
This	O	DT
Italian	B-MISC	JJ
place	O	NN
is	O	VBZ
really	O	RB
trendy	O	NN
but	O	CC
they	O	PRP
have	O	VB
forgotten	O	NNS
about	O	IN
the	O	DT
most	O	JJS
important	O	JJ
part	O	NN
of	O	IN
a	O	DT
restaurant	O	NN
,	O	,
the	O	DT
food	O	NN
.	O	.
In	O	IN
conclusion	O	NN
,	O	,
my	O	PRP
review	O	NN
of	O	IN
this	O	DT
book	O	NN
would	O	MD
be	O	VB
:	O	:
I	O	PRP
like	O	IN
Jane	B-PER	NN
Austen	I-PER	VB
and	O	CC
understand	O	NN
why	O	WRB
she	O	PRP
is	O	VBZ
famous	O	JJ
.	O	.
The	O	DT
story	O	NN
of	O	IN
this	O	DT
movie	O	NN
is	O	VBZ
focused	O	VBN
on	O	IN
Carl	B-PER	NNP
Brashear	I-PER	IN
played	O	NNS
by	O	IN
Cuba	B-PER	NNP
Gooding	I-PER	VBG
Jr.	I-PER	NNP
who	O	WP
wants	O	VBZ
to	O	TO
be	O	VB
the	O	DT
first	O	RB
African	B-MISC	JJ
American	I-MISC	JJ
deep	O	NN
sea	O	NN
diver	O	NN
in	O	IN
the	O	DT
Navy	B-ORG	NNP
.	O	.
Chris	B-PER	NN
O'Donnell	I-PER	NN
stated	O	VBN
that	O	IN
while	O	IN
filming	O	VBG
for	O	IN
this	O	DT
movie	O	NN
,	O	,
he	O	PRP
felt	O	NN
like	O	IN
he	O	PRP
was	O	VBD
in	O	IN
a	O	DT
toy	O	NN
commercial	O	JJ
.	O	.
My	O	PRP
husband	O	NN
and	O	CC
I	O	PRP
moved	O	VBN
to	O	TO
Amsterdam	B-LOC	NN
6	O	CD
years	O	NNS
ago	O	RB
and	O	CC
for	O	IN
as	O	IN
long	O	RB
as	O	IN
we	O	PRP
have	O	VB
lived	O	VBD
here	O	RB
,	O	,
Blauwbrug	B-ORG	NN
has	O	VBZ
been	O	VBN
our	O	PRP
favorite	O	NN
place	O	NN
to	O	TO
eat	O	NN
!	O	.
Dame	B-PER	NN
Maggie	I-PER	NNP
Smith	I-PER	NNP
performed	O	VBN
her	O	PRP
role	O	NN
excellently	O	RB
,	O	,
as	O	IN
she	O	PRP
does	O	VBZ
in	O	IN
all	O	DT
her	O	PRP
movies	O	NNS
.	O	.
The	O	DT
new	O	JJ
movie	O	NN
by	O	IN
Mr.	B-PER	NNP
Kruno	I-PER	NNP
was	O	VBD
shot	O	NN
in	O	IN
New	B-LOC	NNP
York	I-LOC	NNP
,	O	,
but	O	CC
the	O	DT
story	O	NN
takes	O	VBZ
place	O	NN
in	O	IN
Los	B-LOC	NNP
Angeles	I-LOC	NNP
.	O	.
I	O	PRP
always	O	RB
have	O	VB
loved	O	VBN
English	B-MISC	JJ
novels	O	NNS
,	O	,
but	O	CC
I	O	PRP
just	O	RB
could	O	MD
n't	O	RB
get	O	VB
into	O	IN
this	O	DT
one	O	CD
.	O	.
